diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"16.04.2009";"Bern";"Thun (bis 2010)";"Buchholterberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"23.04.2009";"Bern";"Fraubrunnen";"Bätterkinden";"Zu bekämpfende Seuchen";"Salmonellose";"Rind";"";1;0
"23.04.2009";"Bern";"Seftigen";"Seftigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"23.04.2009";"Bern";"Seftigen";"Rüeggisberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"23.04.2009";"Bern";"Thun (bis 2010)";"Sigriswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"23.04.2009";"Bern";"Burgdorf";"Wynigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"23.04.2009";"Bern";"Burgdorf";"Hasle bei Burgdorf";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"23.04.2009";"Bern";"Trachselwald";"Huttwil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Wangen";"Herzogenbuchsee";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"La Neuveville";"Prêles";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Seftigen";"Riggisberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Seftigen";"Rüeggisberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Nidau";"Twann";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Büren";"Pieterlen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"01.05.2009";"Bern";"Büren";"Leuzigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
